,datetime,year,month,day,value,color,type
0,2018-08-14,2018,08,14,-999.9000000000001,,TMAX
0,2018-08-15,2018,08,15,-999.9000000000001,,TMAX
0,2018-08-16,2018,08,16,-999.9000000000001,,TMAX
0,2018-08-17,2018,08,17,-999.9000000000001,,TMAX
0,2018-08-18,2018,08,18,-999.9000000000001,,TMAX
0,2018-08-19,2018,08,19,-999.9000000000001,,TMAX
0,2018-08-20,2018,08,20,-999.9000000000001,,TMAX
0,2018-08-21,2018,08,21,-999.9000000000001,,TMAX
0,2018-08-22,2018,08,22,-999.9000000000001,,TMAX
0,2018-08-23,2018,08,23,-999.9000000000001,,TMAX
0,2018-08-24,2018,08,24,-999.9000000000001,,TMAX
0,2018-08-25,2018,08,25,-999.9000000000001,,TMAX
0,2018-08-26,2018,08,26,-999.9000000000001,,TMAX
0,2018-08-27,2018,08,27,-999.9000000000001,,TMAX
0,2018-08-28,2018,08,28,-999.9000000000001,,TMAX
0,2018-08-29,2018,08,29,-999.9000000000001,,TMAX
0,2018-08-30,2018,08,30,-999.9000000000001,,TMAX
0,2018-09-01,2018,09,01,-999.9000000000001,,TMAX
0,2018-09-02,2018,09,02,-999.9000000000001,,TMAX
0,2018-09-03,2018,09,03,-999.9000000000001,,TMAX
0,2018-09-04,2018,09,04,-999.9000000000001,,TMAX
0,2018-09-05,2018,09,05,-999.9000000000001,,TMAX
0,2018-09-06,2018,09,06,-999.9000000000001,,TMAX
0,2018-09-07,2018,09,07,-999.9000000000001,,TMAX
0,2018-09-08,2018,09,08,-999.9000000000001,,TMAX
0,2018-09-09,2018,09,09,-999.9000000000001,,TMAX
0,2018-09-10,2018,09,10,-999.9000000000001,,TMAX
0,2018-09-11,2018,09,11,-999.9000000000001,,TMAX
0,2018-09-12,2018,09,12,-999.9000000000001,,TMAX
0,2018-09-13,2018,09,13,-999.9000000000001,,TMAX
0,2018-09-14,2018,09,14,-999.9000000000001,,TMAX
0,2018-09-15,2018,09,15,-999.9000000000001,,TMAX
0,2018-09-16,2018,09,16,28.6,,TMAX
