,datetime,year,month,day,value,color,type
0,2018-06-21,2018,06,21,23.200000000000003,,TMIN
0,2018-06-22,2018,06,22,24.5,,TMIN
0,2018-06-23,2018,06,23,-999.9000000000001,,TMIN
0,2018-06-24,2018,06,24,23.900000000000002,,TMIN
0,2018-06-25,2018,06,25,24.6,,TMIN
0,2018-06-26,2018,06,26,26.700000000000003,,TMIN
0,2018-06-27,2018,06,27,26.700000000000003,,TMIN
0,2018-06-28,2018,06,28,-999.9000000000001,,TMIN
0,2018-06-29,2018,06,29,25.900000000000002,,TMIN
0,2018-06-30,2018,06,30,-999.9000000000001,,TMIN
0,2018-07-01,2018,07,01,23.900000000000002,,TMIN
0,2018-07-02,2018,07,02,23.900000000000002,,TMIN
0,2018-07-03,2018,07,03,25.0,,TMIN
0,2018-07-04,2018,07,04,27.5,,TMIN
0,2018-07-05,2018,07,05,-999.9000000000001,,TMIN
0,2018-07-06,2018,07,06,-999.9000000000001,,TMIN
0,2018-07-07,2018,07,07,-999.9000000000001,,TMIN
0,2018-07-08,2018,07,08,24.5,,TMIN
0,2018-07-09,2018,07,09,24.6,,TMIN
0,2018-07-10,2018,07,10,25.5,,TMIN
0,2018-07-11,2018,07,11,-999.9000000000001,,TMIN
0,2018-07-12,2018,07,12,-999.9000000000001,,TMIN
0,2018-07-13,2018,07,13,23.1,,TMIN
0,2018-07-14,2018,07,14,25.8,,TMIN
0,2018-07-15,2018,07,15,-999.9000000000001,,TMIN
0,2018-07-16,2018,07,16,25.700000000000003,,TMIN
0,2018-07-17,2018,07,17,26.5,,TMIN
0,2018-07-18,2018,07,18,26.1,,TMIN
0,2018-07-19,2018,07,19,27.400000000000002,,TMIN
0,2018-07-20,2018,07,20,26.900000000000002,,TMIN
0,2018-07-21,2018,07,21,27.0,,TMIN
0,2018-07-22,2018,07,22,-999.9000000000001,,TMIN
0,2018-07-23,2018,07,23,24.5,,TMIN
0,2018-07-24,2018,07,24,24.400000000000002,,TMIN
0,2018-07-25,2018,07,25,26.3,,TMIN
0,2018-07-26,2018,07,26,26.700000000000003,,TMIN
0,2018-07-27,2018,07,27,27.200000000000003,,TMIN
0,2018-07-28,2018,07,28,27.1,,TMIN
0,2018-07-29,2018,07,29,-999.9000000000001,,TMIN
0,2018-07-30,2018,07,30,25.5,,TMIN
0,2018-08-01,2018,08,01,-999.9000000000001,,TMIN
0,2018-08-02,2018,08,02,23.5,,TMIN
0,2018-08-03,2018,08,03,24.400000000000002,,TMIN
0,2018-08-04,2018,08,04,24.6,,TMIN
0,2018-08-05,2018,08,05,25.200000000000003,,TMIN
0,2018-08-06,2018,08,06,-999.9000000000001,,TMIN
0,2018-08-07,2018,08,07,24.3,,TMIN
0,2018-08-08,2018,08,08,24.6,,TMIN
0,2018-08-09,2018,08,09,-999.9000000000001,,TMIN
0,2018-08-10,2018,08,10,-999.9000000000001,,TMIN
0,2018-08-11,2018,08,11,23.3,,TMIN
0,2018-08-12,2018,08,12,27.3,,TMIN
0,2018-08-13,2018,08,13,-999.9000000000001,,TMIN
0,2018-08-14,2018,08,14,26.8,,TMIN
0,2018-08-15,2018,08,15,-999.9000000000001,,TMIN
0,2018-08-16,2018,08,16,24.400000000000002,,TMIN
0,2018-08-17,2018,08,17,-999.9000000000001,,TMIN
0,2018-08-18,2018,08,18,22.400000000000002,,TMIN
0,2018-08-19,2018,08,19,23.3,,TMIN
0,2018-08-20,2018,08,20,24.6,,TMIN
0,2018-08-21,2018,08,21,-999.9000000000001,,TMIN
0,2018-08-22,2018,08,22,24.6,,TMIN
0,2018-08-23,2018,08,23,25.200000000000003,,TMIN
0,2018-08-24,2018,08,24,-999.9000000000001,,TMIN
0,2018-08-25,2018,08,25,23.700000000000003,,TMIN
0,2018-08-26,2018,08,26,22.8,,TMIN
0,2018-08-27,2018,08,27,24.0,,TMIN
0,2018-08-28,2018,08,28,-999.9000000000001,,TMIN
0,2018-08-29,2018,08,29,25.1,,TMIN
0,2018-08-30,2018,08,30,25.0,,TMIN
0,2018-09-01,2018,09,01,24.700000000000003,,TMIN
0,2018-09-02,2018,09,02,24.6,,TMIN
0,2018-09-03,2018,09,03,25.3,,TMIN
0,2018-09-04,2018,09,04,-999.9000000000001,,TMIN
0,2018-09-05,2018,09,05,-999.9000000000001,,TMIN
0,2018-09-06,2018,09,06,22.8,,TMIN
0,2018-09-07,2018,09,07,-999.9000000000001,,TMIN
0,2018-09-08,2018,09,08,-999.9000000000001,,TMIN
0,2018-09-09,2018,09,09,18.400000000000002,,TMIN
0,2018-09-10,2018,09,10,18.5,,TMIN
0,2018-09-11,2018,09,11,20.1,,TMIN
0,2018-09-12,2018,09,12,20.200000000000003,,TMIN
0,2018-09-13,2018,09,13,20.8,,TMIN
0,2018-09-14,2018,09,14,22.5,,TMIN
0,2018-09-15,2018,09,15,24.400000000000002,,TMIN
0,2018-09-16,2018,09,16,-999.9000000000001,,TMIN
0,2018-09-17,2018,09,17,-999.9000000000001,,TMIN
0,2018-09-18,2018,09,18,-999.9000000000001,,TMIN
0,2018-09-19,2018,09,19,23.5,,TMIN
0,2018-09-20,2018,09,20,-999.9000000000001,,TMIN
0,2018-09-21,2018,09,21,-999.9000000000001,,TMIN
0,2018-09-22,2018,09,22,-999.9000000000001,,TMIN
0,2018-09-23,2018,09,23,19.5,,TMIN
0,2018-09-24,2018,09,24,-999.9000000000001,,TMIN
0,2018-09-25,2018,09,25,-999.9000000000001,,TMIN
0,2018-09-26,2018,09,26,-999.9000000000001,,TMIN
0,2018-09-27,2018,09,27,16.1,,TMIN
0,2018-09-28,2018,09,28,-999.9000000000001,,TMIN
0,2018-09-29,2018,09,29,18.400000000000002,,TMIN
0,2018-09-30,2018,09,30,18.8,,TMIN
0,2018-10-01,2018,10,01,-999.9000000000001,,TMIN
0,2018-10-02,2018,10,02,16.1,,TMIN
0,2018-10-03,2018,10,03,17.400000000000002,,TMIN
0,2018-10-04,2018,10,04,17.5,,TMIN
0,2018-10-05,2018,10,05,-999.9000000000001,,TMIN
0,2018-10-06,2018,10,06,15.100000000000001,,TMIN
0,2018-10-07,2018,10,07,14.200000000000001,,TMIN
0,2018-10-08,2018,10,08,-999.9000000000001,,TMIN
0,2018-10-09,2018,10,09,-999.9000000000001,,TMIN
0,2018-10-10,2018,10,10,-999.9000000000001,,TMIN
0,2018-10-11,2018,10,11,-999.9000000000001,,TMIN
0,2018-10-12,2018,10,12,9.600000000000001,,TMIN
0,2018-10-13,2018,10,13,-999.9000000000001,,TMIN
0,2018-10-14,2018,10,14,12.9,,TMIN
0,2018-10-15,2018,10,15,-999.9000000000001,,TMIN
0,2018-10-16,2018,10,16,12.3,,TMIN
0,2018-10-17,2018,10,17,15.4,,TMIN
0,2018-10-18,2018,10,18,16.1,,TMIN
0,2018-10-19,2018,10,19,-999.9000000000001,,TMIN
0,2018-10-20,2018,10,20,-999.9000000000001,,TMIN
0,2018-10-21,2018,10,21,12.4,,TMIN
0,2018-10-22,2018,10,22,-999.9000000000001,,TMIN
0,2018-10-23,2018,10,23,-999.9000000000001,,TMIN
0,2018-10-24,2018,10,24,15.8,,TMIN
0,2018-10-25,2018,10,25,17.3,,TMIN
0,2018-10-26,2018,10,26,-999.9000000000001,,TMIN
0,2018-10-27,2018,10,27,11.0,,TMIN
0,2018-10-28,2018,10,28,10.5,,TMIN
0,2018-10-29,2018,10,29,12.0,,TMIN
0,2018-10-30,2018,10,30,13.4,,TMIN
0,2018-11-01,2018,11,01,10.100000000000001,,TMIN
0,2018-11-02,2018,11,02,12.4,,TMIN
0,2018-11-03,2018,11,03,12.4,,TMIN
0,2018-11-04,2018,11,04,13.9,,TMIN
0,2018-11-05,2018,11,05,-999.9000000000001,,TMIN
0,2018-11-06,2018,11,06,-999.9000000000001,,TMIN
0,2018-11-07,2018,11,07,-999.9000000000001,,TMIN
0,2018-11-08,2018,11,08,-999.9000000000001,,TMIN
0,2018-11-09,2018,11,09,4.800000000000001,,TMIN
0,2018-11-10,2018,11,10,10.700000000000001,,TMIN
0,2018-11-11,2018,11,11,11.4,,TMIN
0,2018-11-12,2018,11,12,11.9,,TMIN
0,2018-11-13,2018,11,13,12.5,,TMIN
0,2018-11-14,2018,11,14,12.5,,TMIN
0,2018-11-15,2018,11,15,-999.9000000000001,,TMIN
0,2018-11-16,2018,11,16,-999.9000000000001,,TMIN
0,2018-11-17,2018,11,17,-999.9000000000001,,TMIN
0,2018-11-18,2018,11,18,-999.9000000000001,,TMIN
0,2018-11-19,2018,11,19,-999.9000000000001,,TMIN
0,2018-11-20,2018,11,20,-999.9000000000001,,TMIN
0,2018-11-21,2018,11,21,-999.9000000000001,,TMIN
0,2018-11-22,2018,11,22,-999.9000000000001,,TMIN
0,2018-11-23,2018,11,23,3.2,,TMIN
0,2018-11-24,2018,11,24,7.300000000000001,,TMIN
0,2018-11-25,2018,11,25,-999.9000000000001,,TMIN
0,2018-11-26,2018,11,26,7.300000000000001,,TMIN
0,2018-11-27,2018,11,27,8.3,,TMIN
0,2018-11-28,2018,11,28,8.1,,TMIN
0,2018-11-29,2018,11,29,9.4,,TMIN
0,2018-11-30,2018,11,30,10.4,,TMIN
0,2018-12-01,2018,12,01,11.0,,TMIN
0,2018-12-02,2018,12,02,12.3,,TMIN
0,2018-12-03,2018,12,03,-999.9000000000001,,TMIN
0,2018-12-04,2018,12,04,-999.9000000000001,,TMIN
0,2018-12-05,2018,12,05,-999.9000000000001,,TMIN
0,2018-12-06,2018,12,06,4.5,,TMIN
0,2018-12-07,2018,12,07,-999.9000000000001,,TMIN
0,2018-12-08,2018,12,08,-999.9000000000001,,TMIN
0,2018-12-09,2018,12,09,0.0,,TMIN
0,2018-12-10,2018,12,10,0.5,,TMIN
0,2018-12-11,2018,12,11,0.8,,TMIN
0,2018-12-12,2018,12,12,0.8,,TMIN
0,2018-12-13,2018,12,13,2.0,,TMIN
0,2018-12-14,2018,12,14,2.5,,TMIN
0,2018-12-15,2018,12,15,-999.9000000000001,,TMIN
0,2018-12-16,2018,12,16,2.6,,TMIN
0,2018-12-17,2018,12,17,1.3,,TMIN
0,2018-12-18,2018,12,18,4.800000000000001,,TMIN
0,2018-12-19,2018,12,19,-999.9000000000001,,TMIN
0,2018-12-20,2018,12,20,8.5,,TMIN
0,2018-12-21,2018,12,21,10.0,,TMIN
0,2018-12-22,2018,12,22,-999.9000000000001,,TMIN
0,2018-12-23,2018,12,23,-999.9000000000001,,TMIN
0,2018-12-24,2018,12,24,-999.9000000000001,,TMIN
0,2018-12-25,2018,12,25,-999.9000000000001,,TMIN
0,2018-12-26,2018,12,26,-999.9000000000001,,TMIN
0,2018-12-27,2018,12,27,-999.9000000000001,,TMIN
0,2018-12-28,2018,12,28,-999.9000000000001,,TMIN
0,2018-12-29,2018,12,29,-999.9000000000001,,TMIN
0,2018-12-30,2018,12,30,-3.5,,TMIN
